sex,address,famsize,Pstatus,Mjob,Fjob,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,age,absences,G1,G2,G3
F,U,LE3,A,other,other,mother,no,no,yes,no,yes,yes,yes,no,3,3,1,1,0,5,3,4,4,4,1,15,6,10,13,13
F,U,GT3,A,other,other,mother,no,no,yes,yes,yes,yes,yes,yes,2,1,1,2,0,5,3,4,1,1,2,16,8,8,9,10
F,U,GT3,A,services,services,mother,no,yes,yes,yes,yes,yes,yes,no,4,3,1,2,0,4,3,2,1,1,1,15,0,14,15,15
M,U,GT3,T,teacher,health,mother,no,yes,no,yes,yes,yes,no,no,4,4,1,2,0,3,2,2,1,1,5,15,4,14,15,15
M,U,LE3,T,other,at_home,father,yes,yes,no,yes,yes,yes,yes,no,1,2,1,2,0,4,3,2,1,1,5,15,2,9,10,9
F,U,GT3,T,services,other,mother,no,yes,no,no,yes,yes,yes,no,4,2,1,2,0,4,2,3,1,1,5,16,2,15,16,16
F,R,GT3,T,health,teacher,mother,no,yes,no,yes,yes,yes,no,no,4,4,1,2,0,2,4,4,2,3,4,16,6,10,11,11
F,U,GT3,T,services,services,father,yes,yes,no,yes,no,yes,yes,yes,1,1,4,1,0,5,5,5,5,5,5,16,6,10,8,11
F,U,LE3,T,other,services,father,yes,no,no,yes,yes,yes,yes,no,1,2,1,2,0,4,4,3,1,1,1,16,4,8,10,9
F,U,GT3,T,teacher,health,mother,yes,yes,yes,yes,yes,yes,yes,no,4,3,1,3,0,3,4,4,2,4,4,16,2,10,9,9
F,U,LE3,T,services,services,father,yes,no,no,yes,yes,yes,yes,yes,4,3,1,2,0,4,4,4,2,4,2,15,0,10,10,10
F,U,LE3,T,teacher,services,mother,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,0,5,4,3,1,2,1,16,2,16,15,15
M,U,GT3,A,other,services,mother,no,yes,no,yes,no,yes,yes,yes,4,4,1,4,0,1,3,3,5,5,3,15,4,13,13,12
F,U,GT3,T,services,other,mother,yes,yes,yes,no,yes,yes,yes,no,3,1,1,4,0,4,3,3,1,2,5,16,4,7,7,6
F,R,LE3,T,health,services,mother,yes,yes,yes,no,yes,yes,yes,no,2,2,2,2,0,4,1,3,1,3,4,15,2,8,9,8
F,R,LE3,T,other,other,father,no,yes,no,no,no,yes,yes,no,3,1,2,4,0,4,4,2,2,3,3,15,12,16,16,16
M,U,GT3,T,other,other,father,no,yes,yes,no,yes,yes,yes,no,3,1,2,4,0,4,3,2,1,1,5,16,0,13,15,15
M,U,GT3,T,other,other,mother,no,no,no,no,yes,yes,yes,no,4,2,1,4,0,3,3,3,1,1,3,15,0,10,10,10
F,R,GT3,T,other,other,mother,yes,yes,no,no,no,yes,yes,yes,1,1,1,2,2,3,3,4,2,4,5,15,2,8,6,5
M,U,GT3,T,other,other,mother,no,no,no,yes,yes,yes,no,no,3,1,1,1,0,5,3,2,2,2,5,16,2,12,12,14
F,U,GT3,T,other,services,mother,yes,yes,yes,yes,yes,yes,yes,no,3,3,1,2,0,4,3,3,2,4,5,16,54,11,12,11
M,U,GT3,T,teacher,other,mother,no,yes,yes,yes,yes,yes,yes,no,4,3,1,2,0,4,3,3,2,3,5,15,6,9,9,10
M,U,GT3,T,teacher,other,mother,no,no,no,yes,yes,yes,yes,no,4,0,2,4,0,3,4,3,1,1,1,15,8,11,11,10
F,U,GT3,T,other,other,mother,no,no,yes,no,yes,yes,yes,yes,2,2,1,4,0,5,2,3,1,3,3,16,0,11,11,11
M,U,GT3,T,other,other,mother,yes,yes,no,yes,yes,no,yes,no,2,1,2,1,3,4,5,1,1,1,3,17,2,8,8,10
F,U,GT3,T,at_home,other,mother,no,yes,no,no,yes,yes,yes,no,3,4,1,2,0,2,4,3,1,2,3,16,12,5,5,5
M,U,GT3,T,other,services,father,yes,yes,yes,yes,no,yes,yes,yes,2,3,1,1,0,3,2,2,1,3,3,15,2,10,12,12
M,U,GT3,T,other,other,mother,yes,no,yes,no,no,yes,yes,no,2,3,1,3,0,5,3,2,1,2,5,15,4,11,10,11
F,U,LE3,T,services,other,mother,no,yes,yes,no,yes,yes,yes,no,3,2,1,2,0,4,4,4,1,1,5,15,10,7,6,6
M,U,LE3,T,services,services,mother,no,no,yes,yes,yes,yes,yes,no,2,2,2,2,0,5,3,3,1,3,4,15,4,15,15,15
F,U,GT3,T,other,other,father,no,yes,no,yes,no,yes,yes,no,1,1,1,2,0,4,3,2,2,3,4,15,2,9,10,10
F,U,GT3,T,services,services,father,no,no,yes,no,yes,yes,yes,yes,4,4,2,2,2,4,4,4,2,3,5,15,6,7,9,8
F,U,LE3,T,at_home,other,mother,no,yes,no,no,yes,yes,no,no,2,2,1,2,0,4,3,4,1,2,2,16,4,8,7,6
F,U,GT3,T,other,other,mother,no,yes,no,yes,yes,yes,yes,no,4,2,1,3,0,5,3,3,1,3,1,15,4,13,14,14
M,U,GT3,T,services,other,father,no,no,yes,yes,no,yes,yes,no,2,2,2,2,1,4,4,2,1,1,3,16,12,11,10,10
M,U,LE3,A,teacher,health,mother,no,yes,no,no,yes,yes,no,no,4,4,1,2,0,4,1,3,3,5,5,16,18,8,6,7
F,U,GT3,T,other,other,mother,no,yes,yes,no,yes,yes,yes,yes,3,3,1,3,0,4,3,3,1,3,4,16,0,7,7,8
F,U,GT3,T,services,other,mother,no,no,yes,yes,yes,yes,yes,no,4,3,1,1,0,4,5,5,1,3,1,15,4,16,17,18
F,U,LE3,T,other,other,father,yes,yes,no,no,yes,yes,no,no,3,1,1,2,0,3,3,3,2,3,2,16,4,7,6,6
F,U,GT3,T,teacher,services,mother,no,yes,yes,yes,yes,yes,yes,no,4,2,2,2,0,5,3,3,1,1,1,16,0,11,10,10
M,U,LE3,T,services,health,mother,no,yes,no,yes,yes,yes,yes,no,2,2,1,4,0,4,3,4,1,1,4,15,6,11,13,14
F,R,GT3,T,at_home,other,mother,yes,yes,yes,yes,yes,yes,yes,no,1,1,2,4,1,3,1,2,1,1,1,15,2,7,10,10
M,R,GT3,T,services,other,mother,yes,yes,no,yes,no,yes,yes,no,4,3,2,1,0,3,3,3,1,1,4,16,2,11,15,15
F,U,GT3,T,other,other,mother,no,yes,yes,no,yes,yes,no,yes,2,1,1,2,0,4,3,5,1,1,5,16,2,8,9,10
F,U,GT3,T,other,other,mother,no,no,no,yes,no,yes,yes,no,4,4,1,1,0,5,3,4,1,2,1,16,6,11,14,14
F,U,GT3,T,other,at_home,mother,yes,yes,yes,no,yes,yes,yes,no,4,3,1,3,0,5,3,5,1,1,3,16,0,7,9,8
M,U,GT3,T,services,services,mother,yes,yes,yes,yes,yes,yes,yes,no,4,4,1,1,0,4,5,5,5,5,4,16,14,7,7,5
M,U,GT3,T,services,teacher,father,no,yes,no,yes,yes,yes,yes,yes,4,4,1,3,0,4,4,3,1,1,4,16,0,16,17,17
M,U,GT3,T,services,other,mother,no,yes,no,yes,no,yes,yes,no,4,4,1,1,0,5,3,3,1,1,5,15,4,10,13,14
F,U,GT3,T,services,other,mother,yes,yes,yes,no,yes,yes,yes,no,3,2,2,2,0,4,3,5,1,1,2,15,26,7,6,6
M,U,GT3,A,services,other,mother,no,yes,yes,yes,yes,yes,yes,no,3,4,1,2,0,5,4,4,1,1,1,15,0,16,18,18
F,U,GT3,A,other,health,father,yes,no,no,no,yes,yes,no,no,3,3,1,4,0,4,3,3,1,1,4,15,10,10,11,11
F,U,GT3,T,other,other,mother,yes,yes,yes,no,yes,yes,yes,no,2,2,1,4,0,5,1,2,1,1,3,15,8,7,8,8
M,U,GT3,T,services,other,father,no,yes,no,yes,yes,yes,yes,no,3,3,1,3,0,5,3,3,1,1,5,16,2,16,18,18
M,R,GT3,T,other,other,father,no,yes,yes,yes,yes,yes,yes,yes,4,4,4,4,0,1,3,5,3,5,1,15,6,10,13,13
F,U,LE3,T,health,health,mother,no,yes,yes,yes,yes,yes,yes,yes,4,4,1,3,0,5,4,5,1,1,4,16,4,14,15,16
M,U,LE3,A,teacher,teacher,mother,no,no,no,yes,yes,yes,yes,no,4,4,1,1,0,5,5,3,1,1,4,15,6,18,19,19
F,R,GT3,T,services,other,father,yes,yes,no,yes,yes,yes,yes,no,3,3,1,3,1,4,1,2,1,1,2,16,0,7,10,10
F,U,GT3,T,at_home,other,mother,yes,no,no,yes,yes,yes,yes,no,2,2,1,2,1,3,1,2,1,1,5,16,6,10,13,13
M,U,LE3,T,teacher,other,mother,no,no,no,no,yes,yes,yes,no,4,2,1,1,0,3,5,2,1,1,3,15,10,18,19,19
M,R,GT3,T,health,services,mother,no,no,no,yes,yes,yes,yes,yes,2,1,1,2,0,5,4,2,1,1,5,15,8,9,9,9
M,U,GT3,T,teacher,teacher,father,no,yes,no,yes,yes,yes,yes,no,4,4,1,2,0,5,4,4,1,2,5,16,2,15,15,16
M,U,GT3,T,other,teacher,father,no,yes,no,yes,yes,yes,no,no,4,4,2,2,0,4,4,3,1,1,2,15,2,11,13,14
M,U,GT3,T,other,services,father,no,no,no,yes,yes,yes,yes,no,3,3,2,1,0,5,4,2,1,1,5,16,0,13,14,13
M,R,GT3,T,other,other,father,no,yes,no,yes,yes,yes,yes,no,1,3,3,2,1,5,2,4,1,4,5,17,20,9,7,8
M,U,GT3,T,other,other,father,no,no,no,no,yes,yes,yes,no,3,4,1,1,0,3,4,3,1,2,4,15,6,14,13,13
F,U,GT3,T,at_home,services,mother,no,no,no,no,no,yes,yes,no,1,2,1,2,0,3,2,3,1,2,1,15,2,16,15,15
M,U,GT3,T,services,services,father,no,yes,yes,yes,yes,yes,yes,no,2,2,1,4,0,5,5,4,1,2,5,15,6,16,14,15
F,U,LE3,T,other,health,father,no,yes,yes,yes,yes,yes,yes,yes,2,4,2,2,0,4,2,2,1,2,5,16,2,13,13,13
M,U,GT3,T,health,other,mother,no,yes,no,yes,yes,yes,yes,no,4,4,1,1,0,3,4,4,1,4,5,16,18,14,11,13
F,U,GT3,T,other,other,mother,no,no,yes,no,yes,yes,yes,yes,2,2,1,2,0,5,4,4,1,1,5,16,0,8,7,8
M,U,GT3,T,services,services,father,yes,no,no,no,yes,yes,yes,no,3,4,1,1,0,5,5,5,3,2,5,15,0,13,13,12
F,U,LE3,A,other,other,mother,yes,no,no,yes,yes,yes,yes,yes,3,4,1,2,0,5,3,2,1,1,1,15,0,7,10,11
F,U,GT3,T,at_home,other,other,no,yes,no,no,no,no,no,no,0,1,1,2,3,3,4,2,1,1,5,19,2,7,8,9
M,R,GT3,T,services,other,mother,no,yes,no,yes,yes,yes,yes,no,2,2,1,1,2,3,3,3,1,2,4,18,0,7,4,0
M,R,GT3,T,teacher,teacher,mother,no,no,yes,yes,yes,yes,yes,no,4,4,1,1,0,3,5,5,2,5,4,16,8,18,18,18
F,R,GT3,T,services,teacher,father,no,yes,no,no,yes,yes,yes,yes,3,4,2,3,2,4,2,2,2,2,5,15,0,12,0,0
F,U,GT3,T,at_home,other,mother,no,yes,no,yes,no,yes,yes,yes,1,1,3,1,0,4,3,3,1,2,4,15,0,8,0,0
F,U,LE3,T,other,other,father,no,yes,no,no,yes,yes,yes,yes,2,2,1,1,0,3,4,4,1,3,5,17,12,10,13,12
F,U,GT3,A,services,other,father,no,no,no,no,yes,yes,yes,no,3,4,1,1,0,3,2,1,1,4,5,16,16,12,11,11
M,R,GT3,T,at_home,teacher,mother,no,yes,no,no,yes,yes,no,yes,3,4,4,2,0,5,3,3,1,1,5,15,0,9,0,0
F,U,GT3,T,services,at_home,mother,no,yes,no,yes,yes,yes,yes,yes,4,4,1,3,0,4,3,3,1,1,5,15,0,11,0,0
M,R,GT3,T,at_home,other,mother,no,no,no,no,yes,yes,no,no,3,4,3,2,0,5,4,5,2,4,5,17,0,10,0,0
F,U,GT3,A,other,other,other,no,yes,no,yes,no,yes,yes,yes,3,3,2,1,2,4,3,2,1,1,5,16,0,4,0,0
M,U,LE3,T,services,other,mother,no,no,no,no,yes,yes,no,yes,1,1,1,2,1,4,4,4,1,3,5,16,0,14,12,12
F,U,GT3,T,teacher,teacher,mother,no,no,no,yes,yes,yes,yes,no,4,4,2,1,0,4,3,2,1,1,5,15,0,16,16,15
M,U,GT3,T,teacher,services,father,yes,yes,no,no,yes,yes,yes,no,4,3,2,4,0,2,2,2,1,1,3,15,0,7,9,0
M,U,LE3,T,services,services,father,no,yes,no,yes,yes,yes,yes,no,2,2,2,1,2,2,3,3,2,2,2,16,8,9,9,9
F,U,GT3,T,teacher,services,mother,no,yes,yes,yes,yes,yes,yes,no,4,4,1,3,0,4,2,2,1,1,5,15,2,9,11,11
F,U,LE3,T,at_home,at_home,mother,no,no,no,no,yes,yes,yes,no,1,1,1,1,0,3,4,4,3,3,1,16,2,14,14,13
M,U,GT3,T,other,other,mother,no,yes,no,no,yes,yes,yes,no,2,1,1,1,3,5,4,5,1,2,5,17,0,5,0,0
F,U,GT3,T,other,services,father,no,yes,yes,no,yes,yes,yes,no,1,1,1,2,0,4,4,2,1,2,5,15,0,8,11,11
F,U,GT3,T,health,services,father,no,yes,no,no,yes,yes,yes,no,3,2,1,2,3,3,3,2,1,1,3,15,0,6,7,0
F,U,GT3,T,at_home,other,mother,no,yes,yes,no,no,yes,yes,no,1,2,1,2,0,4,3,2,1,1,5,15,2,10,11,11
M,U,GT3,T,teacher,teacher,mother,no,yes,no,no,yes,no,yes,yes,4,4,1,1,0,3,3,2,2,1,5,16,0,7,6,0
M,U,LE3,A,services,other,mother,no,no,no,no,yes,yes,yes,no,2,1,4,1,3,4,5,5,2,5,5,15,0,8,9,10
M,U,LE3,T,other,other,mother,no,no,no,no,yes,no,yes,yes,1,1,1,1,3,2,3,5,2,5,4,18,0,6,5,0
M,U,LE3,T,at_home,other,mother,no,no,no,yes,yes,yes,no,yes,2,1,1,1,1,4,4,4,3,5,5,16,6,12,13,14
F,R,GT3,T,services,services,other,no,yes,yes,yes,yes,yes,yes,yes,3,3,2,3,2,4,2,1,2,3,3,15,8,10,10,10
M,U,GT3,T,services,at_home,mother,no,yes,no,no,yes,no,yes,yes,3,2,1,1,3,4,5,4,1,1,4,19,0,5,0,0
F,U,GT3,T,other,teacher,mother,yes,yes,no,no,yes,yes,no,yes,4,4,1,1,0,4,2,1,1,1,4,17,0,11,11,12
M,R,GT3,T,at_home,services,mother,yes,no,yes,yes,yes,yes,no,no,2,3,1,2,0,4,4,4,1,1,1,15,2,11,8,8
M,R,LE3,T,other,other,mother,no,no,no,no,yes,yes,no,no,1,2,1,1,0,2,2,2,3,3,5,17,8,16,12,13
F,R,GT3,T,at_home,other,mother,no,yes,no,yes,no,yes,no,no,1,1,3,1,3,5,2,5,1,5,4,18,6,9,8,10
M,R,GT3,T,at_home,other,mother,no,no,no,no,no,yes,no,no,2,2,3,1,0,4,2,2,1,2,3,16,2,17,15,15
M,U,GT3,T,other,services,father,no,yes,yes,no,yes,yes,yes,yes,3,3,1,2,1,4,5,5,4,4,5,16,4,10,12,12
M,R,LE3,T,at_home,other,mother,no,no,no,yes,yes,no,yes,yes,2,1,2,1,2,3,3,2,2,2,5,17,0,7,6,0
M,R,GT3,T,other,other,mother,yes,yes,no,no,yes,yes,yes,yes,3,2,2,2,2,4,4,4,1,4,3,15,6,5,9,7
M,U,LE3,T,other,other,mother,no,no,no,yes,yes,yes,no,no,1,2,2,1,1,4,4,4,2,4,5,16,0,7,0,0
M,U,GT3,T,at_home,services,father,no,no,no,no,yes,no,yes,no,1,3,1,1,0,5,3,3,1,4,2,17,2,10,10,10
M,R,LE3,T,other,services,mother,no,no,no,yes,yes,no,no,yes,1,1,4,2,3,5,3,5,1,5,5,17,0,5,8,7
M,U,GT3,T,services,services,mother,no,yes,no,yes,no,no,no,no,3,2,2,1,1,4,5,2,1,1,2,16,16,12,11,12
M,U,GT3,T,other,other,father,no,no,no,no,yes,no,yes,no,2,2,1,2,0,4,3,5,2,4,4,16,4,10,10,10
F,U,GT3,T,health,services,father,no,no,yes,no,yes,yes,yes,yes,4,2,1,2,0,4,2,3,1,1,3,16,0,14,15,16
F,U,GT3,T,other,other,mother,no,yes,yes,no,no,yes,yes,no,2,2,1,2,0,5,1,5,1,1,4,16,0,6,7,0
F,U,GT3,T,health,health,mother,no,yes,yes,no,yes,yes,yes,yes,4,4,1,2,0,4,4,2,1,1,3,16,0,14,14,14
M,U,GT3,T,other,other,father,no,yes,no,yes,no,yes,yes,no,3,4,3,1,2,3,4,5,2,4,2,16,0,6,5,0
M,U,GT3,T,other,other,mother,no,yes,yes,yes,yes,yes,yes,yes,1,0,2,2,0,4,3,2,1,1,3,16,2,13,15,16
M,U,LE3,T,teacher,other,mother,no,yes,yes,yes,yes,yes,yes,no,4,4,1,2,0,4,4,4,1,3,5,17,0,13,11,10
F,U,GT3,T,at_home,services,mother,no,no,no,yes,no,yes,yes,yes,1,3,1,2,3,4,3,5,1,1,3,16,0,8,7,0
F,U,LE3,T,other,other,mother,no,yes,yes,yes,yes,yes,yes,no,3,3,2,2,0,4,4,5,1,1,4,16,4,10,11,9
M,U,LE3,T,teacher,other,mother,no,no,yes,yes,yes,yes,yes,no,4,3,2,2,0,4,4,4,4,4,4,17,4,10,9,9
F,U,GT3,T,services,other,mother,no,no,yes,yes,no,yes,yes,no,2,2,2,2,0,3,4,4,1,4,5,16,2,13,13,11
M,U,GT3,T,other,other,father,no,no,no,yes,no,yes,yes,no,3,3,1,2,0,4,3,4,1,4,4,17,4,6,5,6
M,R,GT3,T,teacher,services,mother,no,yes,no,yes,yes,yes,yes,yes,4,2,1,1,0,4,3,3,3,4,3,16,10,10,8,9
M,U,GT3,T,other,other,mother,no,yes,no,yes,yes,yes,yes,yes,4,3,1,2,0,5,2,3,1,1,2,17,4,10,10,11
M,U,GT3,T,teacher,other,mother,no,yes,yes,yes,yes,yes,yes,no,4,3,1,2,0,3,4,3,2,3,3,16,10,9,8,8
M,U,GT3,T,services,other,mother,no,no,yes,yes,yes,yes,yes,yes,3,3,1,2,0,4,2,3,1,2,3,16,2,12,13,12
F,U,GT3,T,services,services,father,no,yes,no,yes,yes,yes,no,no,2,4,1,2,0,5,4,2,2,3,5,17,0,16,17,17
F,U,LE3,T,other,other,mother,no,yes,no,yes,yes,yes,yes,yes,3,3,1,2,0,5,3,3,2,3,1,17,56,9,9,8
F,U,GT3,T,other,other,mother,no,yes,yes,no,yes,yes,yes,no,3,2,1,2,0,1,2,2,1,2,1,16,14,12,13,12
M,U,GT3,T,services,services,mother,no,yes,no,yes,yes,yes,yes,yes,3,3,1,2,0,4,3,4,2,3,4,17,12,12,12,11
M,U,GT3,T,services,services,mother,no,yes,yes,yes,yes,yes,yes,yes,1,2,1,1,0,3,3,3,1,2,3,16,2,11,12,11
M,U,LE3,T,other,other,mother,no,no,yes,yes,yes,yes,yes,yes,2,1,1,2,0,4,2,3,1,2,5,16,0,15,15,15
F,U,GT3,A,health,other,mother,no,yes,no,no,no,yes,yes,yes,3,3,1,2,0,3,3,3,1,3,3,17,6,8,7,9
M,R,GT3,T,at_home,other,mother,no,no,no,no,yes,yes,no,no,1,2,1,2,0,3,1,3,1,5,3,17,4,8,9,10
F,U,GT3,T,services,services,mother,no,no,no,no,yes,yes,yes,no,2,3,1,2,0,4,3,3,1,1,2,16,10,11,12,13
F,U,GT3,T,at_home,services,mother,no,no,no,yes,yes,yes,yes,no,1,1,1,2,0,5,3,3,1,1,3,17,0,8,8,9
M,U,GT3,T,at_home,services,other,no,no,yes,yes,no,yes,yes,no,1,2,2,2,0,4,4,4,4,5,5,17,12,7,8,8
M,R,GT3,T,services,services,mother,no,yes,no,yes,yes,yes,yes,no,3,3,1,1,0,4,3,2,3,4,5,16,8,8,9,10
M,U,GT3,T,other,other,father,no,no,no,no,yes,yes,yes,no,2,3,2,1,0,5,3,3,1,1,3,16,0,13,14,14
F,U,LE3,T,services,services,father,no,no,no,yes,yes,yes,yes,yes,2,4,1,2,0,4,3,2,1,1,5,17,0,14,15,15
